name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
FORTALEZA BLANCO STILL STRENGTH TEQUILA,TEQUILA BLANCO,UNAGED,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,46.0,3,TEQUILA FORTALEZA ,38,4.45,RICH,AMANDA SCHUSTER,96,5,15,15,25,20,5,60,50,10,5,10,10,40,0
DON AMADO AÑEJO MEZCAL,MEZCAL AÑEJO,AMERICAN WHITE OAK - EX PEDRO DOMECQ BRANDY,"OAXACA, MEXICO",NAS,43.5,3,DON AMADO ,11,4.2,FRUITY & SWEET,JOHN RANKIN,96,75,45,45,10,15,10,55,85,75,70,65,65,90,35
GRAN PATRÓN BURDEOS AÑEJO TEQUILA,TEQUILA AÑEJO,AMERICAN AND FRENCH OAK FINISHED IN EX BORDEAUX WINE BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,GRAN PATRÓN ,29,4.79,RICH,ANNA ARCHIBALD,96,20,45,0,0,8,0,95,5,0,15,0,0,25,0
ARTA TEQUILA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"EX-BOURBON, EX-SHERRY, AND EX-COGNAC","TEQUILA VALLEY, JALISCO, MEXICO",5 YEAR,43.0,4,ARTA TEQUILA ,13,4.58,RICH & SWEET,AMANDA SCHUSTER,96,25,25,40,50,10,5,70,60,0,0,0,20,50,20
REAL MINERO BARRIL MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,49.9,4,REAL MINERO ,26,4.26,HERBAL & EARTHY,OMARI WHEAT,96,90,90,45,90,20,30,85,75,35,25,70,35,50,0
MEZCAL PIERDE ALMAS WILD TEPEXTATE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,50.0,4,MEZCAL PIERDE ALMAS ,7,4.14,SMOKY,RON BECHTOL,96,45,35,30,35,10,10,25,5,30,20,30,10,15,15
SOTOL POR SIEMPRE,SOTOL,UNAGED,"CHIHUAHUA, MEXICO",NAS,45.0,2,POR SIEMPRE ,54,4.05,EARTHY & FRUITY,DISTILLER STAFF,96,74,82,42,52,64,66,22,70,63,9,18,0,81,72
KOCH EL MEZCAL COYOTE,MEZCAL JOVEN,unknown,unknown,unknown,47.0,4,unknown,6,4.1,FRUITY & MINERAL,OMARI WHEAT,96,40,30,35,70,10,20,40,70,70,60,15,65,70,60
TEARS OF LLORONA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"FORMER SCOTCH, SHERRY, AND COGNAC BARRELS","LOS ALTOS, JALISCO, MEXICO",NAS,43.0,5,TEARS OF LLORONA ,101,4.71,RICH & SPICY,RON BECHTOL,96,20,60,75,30,50,5,80,35,20,10,40,5,65,35
T1 TEQUILA REPOSADO EXCEPCIONAL,TEQUILA REPOSADO,EX-WHISKY,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,T1 TEQUILA UNO ,11,4.43,SPICY & FRUITY,RON BECHTOL,96,40,70,75,60,30,10,60,70,40,20,25,10,70,35
